_id,count,polarity
food,575660,0.287917314
service,380954,0.208613009
place,330281,0.215543561
staff,177340,0.273130016
restaurant,122492,0.157896425
time,107439,0.094527145
experience,94487,0.138370631
atmosphere,87751,0.284347909
meal,85579,0.192967113
sauce,81445,0.084846671
menu,80354,0.091170138
chicken,70029,0.053619763
pizza,64860,0.184164137
server,62910,0.28065204
price,59195,0.235058907
thing,49407,0.133347928
flavor,48597,0.255482435
hour,46401,0.543554673
bread,45661,0.074081908
selection,45632,0.289200838
everything,45145,0.340994441
rice,44933,0.039275171
side,43905,0.052255703
decor,43478,0.244464907
cheese,43418,0.029841684
dish,43390,0.128033032
waitress,41161,0.258234649
salad,41016,0.129438785
burger,40134,0.173021169
meat,38975,0.00968283
taste,37704,0.092094822
order,37679,-0.023774612
location,36234,0.163158538
portion,35684,0.09111174
quality,34544,0.22531385
dinner,34539,0.178085944
spot,34456,0.212602516
lunch,33966,0.11675154
amount,33147,0.226333899
fish,32021,0.043436953
bar,31460,0.111547592
night,31013,0.049995778
sushi,30526,0.220335883
table,30292,0.01883823
deal,29403,0.217663758
music,28703,0.184758221
waiter,27804,0.254070176
review,27317,-0.034455911
crust,26200,0.086040384
day,26065,0.00693541
coffee,25627,0.229229711
beer,25438,0.122181432
sandwich,25301,0.163507705
ambiance,25237,0.33412577
patio,25112,0.255176389
soup,25060,0.077667724
drink,23279,0.075364495
customer service,23208,0.203627487
fan,23033,0.013632218
tea,22596,0.068845411
variety,22275,0.268621026
!!,21576,0.311685174
breakfast,21398,0.209190996
seating,21215,0.046580146
bit,21173,0.012875013
wait,20863,-0.020894251
steak,20825,0.160826964
rib,19256,0.096704597
bite,19158,0.073388151
space,18639,0.095282929
plate,18506,0.027516895
beef,18165,0.06920609
shrimp,18090,0.092976526
area,17847,0.071816123
group,17719,0.086075122
size,17655,0.272740277
wine,17472,0.140747273
choice,17207,0.289799678
room,16743,0.053728622
job,16734,0.398952937
stuff,16640,0.176249611
salsa,16543,0.154204215
part,16484,0.07910263
dessert,16189,0.16294095
texture,15900,0.173438788
pork,15822,0.077143723
visit,15364,0.03169461
line,15049,-0.036681467
vibe,15026,0.221799966
bowl,14902,0.060316814
view,14478,0.381459209
guy,14063,0.205433128
toast,13925,0.069212256
dog,13532,0.06926781
touch,13471,0.524868699
notch,13301,0.006228976
broth,13218,0.143135214
gem,12999,-0.1018539
chocolate,12893,0.002300604
bartender,12557,0.243577069
environment,12548,0.210946071
owner,12494,0.267127068
presentation,12335,0.375204848
buffet,12334,0.151887491
cream,12254,-0.199567951
piece,12175,0.026821809
potato,11861,0.040028157
star,11713,-0.044480074
curry,11475,0.00386543
salmon,11389,0.072360664
feel,11387,0.108042206
lady,11255,0.202038117
dining experience,11173,0.257795254
parking,10931,-0.081085345
wait staff,10888,0.263224464
money,10870,0.068751813
bacon,10821,0.062077628
party,10675,0.083661951
evening,10669,0.222334495
egg,10662,-0.048133316
option,10598,0.305301767
person,10563,0.040828457
water,10497,-0.013008977
interior,10491,0.189122618
roll,10288,0.111604524
oil,10259,-0.073022238
manager,10218,0.092061769
inside,10163,0.102064851
sum,10134,-0.197757278
man,10023,0.133529258
business,9833,0.019646079
ambience,9796,0.346082136
pasta,9737,0.119424066
nothing,9529,0.026017083
!!!,9429,0.312218999
trip,9388,0.027661354
bun,9353,0.032808612
glass,9186,0.092419425
kitchen,9061,-0.049637353
reason,9057,0.220641509
crowd,9038,0.144139013
appetizer,9009,0.156660187
sign,8878,0.295346267
bill,8870,0.019773413
lot,8692,0.031635187
shot,8681,-0.014732963
family,8638,0.129693283
idea,8627,0.309585043
everyone,8389,0.350590632
dining,8315,0.186858801
attitude,8178,-0.121084098
beer selection,8112,0.344705461
surprise,8053,0.458025967
cuisine,8019,0.191689395
girl,7942,0.133036472
seafood,7862,0.105531566
mix,7821,0.300447956
setting,7773,0.267987557
combination,7759,0.324309408
pho,7734,0.276630632
cup,7658,0.068475667
customer,7575,0.10297643
item,7527,0.078536399
hostess,7460,0.173682051
slice,7401,0.052104808
lighting,7264,-0.002169218
ice cream,7223,0.098596039
chef,7221,0.215872572
conversation,7199,0.206923053
treat,7125,0.223565756
style,7111,0.098438649
fare,7034,0.116879666
friend,7032,0.14937603
rest,6940,0.158103874
burrito,6936,0.110923233
